Posición,Descripción ,Derechos,Tasa Estadísticas,Impuestos Internos,Anti-Dumping,IVA
9620.00.00,estabilizador para celular,16,3,0,0,21%
9603.90.00,DEMAS CEPILLOS,18,3,0,0,21%
9603.29.00,CEPILLOS P/MASCOTAS,20,3,0,0,21%
9507.10.00,Cañas de pesacar las demas,20,3,0,0,21%
9506.99.00,DEMAS ART DEPORTIVO,35,3,0,0,21%
9506.91.00.900K,Los demás: Artículos de gimnasio,20,3,0,0,21%
9506.91.00,ENTRENADOR PARA BICICLETA DE METAL,35,3,0,0,21%
9506.62.00,PELOTAS INFLABLES,35,3,0,0,21%
9506.32.00,PELOTAS DE GOLF,20,3,0,0,21%
9506.31.00,PALO DE GOLF,20,3,0,0,21%
9506.21.00,VELAS DE KITESURF,20,3,0,0,21%
9505.90.00,Artículos para fiestas,20,3,0,0,21%
9505.90.00,ART P FIESTAS DISFRACES,20,3,0,0,21%
9505.10.00,Artículos para fiestas de Navidad,20,3,0,0,21%
9504.50.00,ACCESORIOS DE VIDEOJUEGO,20,3,0,0,21%
9504.40.00,JUEGO DE MESA,20,3,0,0,21%
9503.00.99.960R,Los demás juguetes -,35,3,0,0,21%
9503.00.99,DEMAS JUGUETES,35,3,0,0,21%
9405.61.00,FLEXIBLES LED,18,3,0,0,21%
9405.42.00,LUMINARIAS DE LED,20,3,0,0,21%
9405.42.00,APARATOS DE IMUNINACION DE LED,20,3,0,0,21%
9405.29.00.000H,Lámparas eléctricas,18,3,0,0,21%
9405.21.00,"LAMPARAS DE MESA, PIE, ETC.",18,3,0,0,21%
9405.19.90.100M,LUCES SUBACUATICAS,18,3,0,0,21%
9403.70.00.990M,CORRALITO PARA BEBE,18,3,0,0,21%
9403.60.00,DEMAS MESAS DE MADERA,18,3,0,0,21%
9403.60.00,DEMAS MUEBLES DE MADERA,18,3,0,0,21%
9403.20.90.990E,COLUMPIO DE METAL,35,3,0,0,21%
9402.90.90,Camas y camillas con mecanismos,16,3,0,0,21%
9401.79.00.900D,Asientos con armazón de metal,35,3,0,0,21%
9209.30.00,CUERDA DE GUITARRA,16,3,0,0,21%
9207.90.90.000,bateria electrica,18,3,0,0,21%
9113.90.00.199T,Pulseras para relojes,18,3,0,0,21%
9104.00.00,TABLERO DE AUTO,20,3,0,0,21%
9032.89.90,DEMAS CONTROLADORES,18,3,0,0,21%
9031.90.90,Partes y accesorios de Instrumentos,12.6,0,0,0,21%
9031.80.99,"Los demás instrumentos, aparatos y máq",12.6,0,0,0,"10,50%"
9029.90.10,SENSOR DE VELOCIDAD,16,3,0,0,21%
9027.89.99,Los demás instrumentos y aparatos,12.6,0,0,0,21%
9027.10.00,detector de gas portatil,12.6,0,0,0,"10,50%"
9026.90.90,SENSOR AUTOMOTIVO,16,3,0,0,21%
9026.20.90,Demas inst control de presión,18,3,0,0,21%
9026.10.29.100N,Istrumentos p/caudal y selec combustibl,18,3,0,0,21%
9025.80.00,DEMAS MEDIDORES DE TEMPERATURA Y HUMEDAD,18,3,0,0,21%
9025.19.90,PISTOLA TERMOMETRO INFRARROJO,18,3,0,0,21%
9025.19.90,MEDIDOR DE TEMPERATURA,18,3,0,0,21%
9025.11.99,TERMOMETRO ESPATULA,18,3,0,0,21%
9019.10.00,MASAJEADOR,12.6,0,0,0,"10,50%"
9018.90.69,TENSIOMETRO,16,3,0,0,21%
